deliberate|adj.深思熟虑的；故意的；从容不迫的; v.仔细考虑；研讨
homogeneous|adj.同质的；同种的；相似的
Thanksgiving|n.感恩节
erroneous|adj.错误的；不正确的
facet|n.小平面；方面；刻面
marshal|n.陆空军元帅；典礼官；司仪官; v.整顿；配置；汇集
up|adv.向上；起来；上升；往上; prep.向上; adj.向上的；上行的; n.上升; v.上升；增加
comparable|adj.可比较的；比得上的
Revi|雷维
LPT|n.低功率试验(低压透平)
Bi|n.[化]元素铋(bismuth)的符号; bi-:pref.；表示“二；双”
agony|n.极度的痛苦；挣扎
vocal|adj.声音的；口头的；声乐的；直言不讳的; n.元音；声乐作品
conserve|n.蜜饯；果酱; v.保存；保持；节省；用糖保存
qq|n.一款即时通信软件
validity|n.合法性；有效性；正确性
periodic|adj.周期的；定期的；间歇的；完句的
striking|adj.显著的；吸引人的; 动词strike的现在分词形式.
degrade|v.降格；使屈辱；贬低；退化；降解
journalist|n.记者；新闻工作者
entertainment|n.娱乐
gli|(=enteroglucagon)肠高血糖素,肠升糖素,(=glicentin)肠高血糖素,(=glucagon-likeimmunoactivity)高血糖素免疫活性,(=glucagon-likeimmunoreactant)高血糖素样免疫反应物,(=glucagon-likeimmunoreactivity)高血糖素样免疫反应性
supplementary|adj.补充的；附加的
bronze|n.青铜；青铜色；青铜制品；铜牌; adj.青铜制的；青铜色的; vt.使成青铜色
destructive|adj.破坏性的；有害的
dwell|vi.居住；存在；冥想；详细阐述
chat|vi.闲谈；谈天; n.闲谈；聊天
hinge|n.铰链；关键; vt.用铰链装; vi.依情况而定
bulletin|n.公报；期刊；新闻快报；公示; vt.发表；用公告通知
mutter|v.咕哝；抱怨；低语; n.嘟哝；抱怨；低语
resultant|adj.作为结果的；合成的; n.结果；产物；[数学]合矢量；结式
conception|n.概念；观念；构想；怀孕
privacy|n.隐居；隐私；秘密；私生活
nominate|vt.提名；指派；登记赛马参加比赛
facilitate|vt.促进；帮助；使...容易
RIF|abbr.缩编；减员(=reductioninforce)
fort|n.堡垒；要塞
premium|n.额外费用；奖金；保险费; n.(商)溢价; adj.高价的；优质的
savage|adj.野性的；凶猛的；粗鲁的；荒野的；原始的; n.野蛮人；粗人；凶恶的人; vt.激烈抨击；猛烈攻击
intensify|vt.增强；强化；加剧
URI|上呼吸道感染
strategic|adj.战略的；重要的；基本的
ug|abbr.地下(=underground)
commemorate|vt.纪念
category|n.种类；类别；范畴
shrug|n.耸肩; v.耸肩；不理会
visualize|v.使...看得见；形象化；设想
GL|abbr.标距长度(=gagelength；gaugelength); abbr.玻璃（=glass）; abbr.接地指示灯（=groundlamp）
kit|n.成套工具；工具箱；装备; vt.装备
stagger|vi.蹒跚；犹豫；动摇; vt.使摇晃；使吃惊；使犹豫; n.蹒跚；踌躇；摇摆不定
Daiz|代斯
remainder|n.剩余物；其余的人；[数]余数; vt.廉价出售
insulate|vt.使绝缘；隔离
gene|n.基因
scared|adj.害怕的
virtual|adj.实质的；【计】虚拟的
INV|abbr.发明者(=Inventor); abbr.反相器(=Inverter); abbr.体外授精(=invitrofertilization)
incidence|n.发生(率)；入射
hostage|n.人质
KS|abbr.闸门开关(=knifeswitch); abbr.堪萨斯州(=Kansas)
spectator|n.观众；旁观者
perpetual|adj.永久的；永恒的；一再往复的
clutch|vt.抓住；抓牢; vi.企图抓住；踩离合器; n.抓住；爪子；离合器；紧要关头; n.一窝鸡（蛋）；一群; adj.关键的；致胜的
ivory|n.象牙；乳白色
Fens|费恩斯
allocate|vt.分派；分配；分配额
forum|n.讨论会；论坛
lobby|n.大厅；民众接待厅；游说议员者; v.游说
verge|v.接近；濒于；下沉；趋于; v.处在...的边沿; n.边缘；界限；权杖
retrieve|vt.恢复；挽回；取回; vi.找回猎物; n.恢复；取回；救出险球
dominant|adj.主要的；占优势的；显性的; n.主宰者；显性基因
PEI|n.贝（姓氏）; abbr.爱德华王子岛(=PrinceEdwardIsland); abbr.初步工程检验(=PreliminaryEngineeringInspection); abbr.(美国)搪瓷研究所(=PorcelainEnamelInstitute)
colonial|adj.殖民地的; n.殖民地居民
portray|vt.描写；描绘；饰演
RETR|n.缩进(拉回；退回；取消)
costume|n.服装；剧装; vt.提供服装；为...设计服装; adj.服装打扮的
refreshment|n.恢复；精神爽快；提神之事物; （复数）refreshments:点心；茶点.
tract|n.大片土地；器官系统；[解]道；束; n.小册子
gigantic|adj.巨大的
attendance|n.出席；出席人数；出席率
furious|adj.狂怒的；猛烈的
depute|v.委任；委托；派...为代表或代理
suicide|n.自杀；自杀者；自取灭亡的行为; adj.自杀性的
den|n.兽穴；集聚地; v.穴居
coincidence|n.巧合；一致；同时发生
deficit|n.赤字；逆差；亏损；亏空；不足
republican|n.拥护共和政体的人; adj.共和政体的; Republican:共和党人.; Republican:共和党的.
flatter|v.奉承；恭维；取悦；显得好看
stereo|adj.立体声的；有立体视觉的; n.立体声；固定形象
MIT|abbr.麻州理工大学(美)(=MassachusettsInstituteofTechnology)
spa|n.矿泉；温泉浴场；水疗
hover|v.盘旋；徘徊；靠近（某事物），维持在某种不确定的状态; n.盘旋
specifically|adv.特别地；明确地；具体地
arctic|adj.北极的；极寒的; n.北极圈；北极
assumption|n.假定；设想；担任(职责等)；假装
nit|n.虱子；没用的人
wrinkle|n.皱纹；方法; vt.使起皱纹；皱着; vi.起皱
VIP|abbr.贵宾; (=veryimportantperson).
certainty|n.确定；确实的事情
attorney|n.(辩护)律师
leaflet|n.小叶；传单; v.散发传单
Kreidl|克赖德尔
cater|v.提供饮食及服务；迎合；满足
signify|vt.表示；预示；意味着；象征; vi.有重要性
repertoire|n.全部节目；全部才能
Nt|abbr.新台币(=newTaiwandollar); abbr.新界（=newterritories）; abbr.新约（=newtestament）
SI|n.国际单位制
suspicious|adj.可疑的；多疑的
trifle|n.琐事；少量; v.浪费；玩弄
whereas|conj.然而；鉴于
Sein|存在
snap|v.劈啪作响；崩塌；砰然关上；猛咬；谩骂；拍摄; n.啪嗒声；快照; adj.突然的；匆忙的; adv.劈啪作响地
turbulent|adj.狂暴的；骚动的；动荡的；汹涌的
boycott|vt.抵制（贸易）；拒绝参加
Dau|abbr.数据调节器（=DataAdapterUnit）；日活跃用户（=dailyactiveusers）
UD|=UnderwaterDemolition水下爆破
legitimate|adj.合法的；世袭的；婚生的；正当的；合理的; vt.使合法；授权；宣布...为合法
versus|prep.对抗；与...相对(略作v.或vs.)
tangle|n.缠结；混乱；纠纷; vt.使缠结；使混乱；使陷入; vi.纠缠；乱作一团；吵架；争论
revolve|v.旋转；考虑；围绕
drainage|n.排水；排水系统；污水；【医】引流（法），导液（法）
comet|n.彗星
rating|n.等级；评定；收视率；额定值
