century|n. 世纪，一百年，成百的东西
finger|n. 手指,指针 vt. 用手指触碰（演奏），（用手）指， vi. 触摸，用手指演奏乐器，
finish|n. 完成,最后加工,结局,完美 vt. 结束,获...第几名 vi. 终结,完成
fire|n. 火,火灾,射击 v. 点燃,解职,开枪
fireplace|n. 壁炉
first|adv. 首先,第一,优先 adj. 第一的, 最早的, 一流的 n. (序数词)第一, 第一个人或事物, (大学学位的)最优等, (汽车, 自行车等的)最低挡
fish|n. 鱼，鱼肉 v. 钓鱼，捕鱼
fishing|n. 钓鱼，渔场，渔业
fit|adj. 适宜的,对的,准备好的 v. 适合,安装 n. 适宜,发作,一阵
five|num. 五 pron.&amp;adj. 五(个,只...)
fix|vt. &vi. 使...固定,修理,准备 n. 困境, (船只、飞机等的)定方位,贿赂
flag|n. 旗标,旗子,信号旗 vt. 打旗号 vi. 无力地下垂,减退
flat|adj. 平坦的, 单调的, 扁平的 adv. 平直地, 干脆地 n. [英]公寓 vt. 变平 vi. 降调
flight|n.（物体的）飞行； 航班； 飞翔； 楼梯的一段 vi.成群地迁徙或飞行 vt.射击； 使惊飞
flood|n. 洪水,水灾 v. 淹没,溢出 vi. 大量涌到,泛滥 vt. 灌溉,淹没
floor|n. 地板,楼层,底部,地面,议员,底线 vt. 铺地板,击倒,油门踩到底
flour|n. 面粉 vt. &vi. 研成粉末
flower|n. 花,华丽,盛年,精英,自然发展的结果 vi. 成熟,开花 vt. 使开花,用花装饰
fly|n. 苍蝇,两翼昆虫,飞行,升高 vt. &vi. 飞,飞翔,逃走,飞逝,猛然移动
fog|n. 雾, 朦胧, 喷雾, 迷惑 vt. &vi.以雾笼罩, 使模糊, 迷惑
foggy|adj. 有雾的
follow|vt. 跟随,沿行,遵循,听得懂 vi. 跟着做,之后是 n. 跟随
following|n. 下列各项,部下,党羽 adj. 下列的,其次的 prep. 在（某事）以后
food|n. 食物
fool|n. 愚人,受骗者 vt. 愚弄,欺骗 vi. 干傻事,开玩笑 adj. 愚蠢的
foot|n. 脚,山脚,最底部, 一步长,音步，进程 vi. 跳舞,步行 vt. 表演舞步,付账, 踩踏, 结算
football|n. 足球 n. 橄榄球
for|conj. 因为 prep. 给,为，关于,代表,支持,因为,往
foreign|adj. 外国的,外交的,不相关的
foreigner|n. 外国人
forest|n. 森林,园林,林火 vt. 用树林覆盖, 植树
forever|adv. 永远 n. 漫长时间
forget|vt. &vi. 忘记,忽略
fork|n. 叉,叉状物 vt. &vi. 叉起,耙,成叉状
form|n. 形式, 形状, 表格 v. 形成, 组成, 建立
forward|adv.前进地； 向前； 至将来； 提前地 adj.向前方的； 迅速的； （社会、政治）进步的； 早熟的 vt.促进，助长； （按新地址）转寄； 发送 n.前锋
forty|num.&amp;adj. 四十 pron. 四十(个,只...)
fossil|adj. 化石的 n. 化石,食古不化的人,过时的词
found|vt. 创立，建立；创办 v. 找到（find的过去分词）
four|num. 四 pron.&amp;adj. 四(个,只...)
fourteen|num. 十四
fourth|n.第四； 月的第四日； 四分之一； 第四音级 adj.第四的； 四分之一的 num.第四
fox|n. 狐狸, 狡猾的人 v. 奸狡地行动
foxy|adj. 如狐的, 狡猾的, 赤褐色的
fragile|adj. 易碎的,脆的,精细的
France|n. 法国
free|adj. 自由的,大方的,免费的 vt. 释放,解放 adv. 自由地,免费地
freeze|v. 冻结, 冷冻, 僵硬 [计算机] 冻结
French|adj. 法国(人)的,法语的 n. 法语 vt. 剁肉，蔬菜切成长条
Frenchman|n. 法国人
fresh|adj.新鲜的； 淡水的； 新的； 无经验的 adv.刚； 最新的 n.开始； 新生； 泛滥； 淡水流
Friday|n. 星期五
fridge|n. 电冰箱
friend|n. 朋友,赞助者,支持者 vt. 做朋友,对人友好
friendly|adj. 友好的 adv. 友好地 n. 友好者
friendship|n. 友谊, 友好
frighten|v. 使惊吓, 惊恐
frightened|adj. 受惊的, 受恐吓的
frog|n. 蛙,马的蹄叉,刀剑的挂环
from|prep. 从,从...起
front|n.前面； 正面； 身体前部； 前线 adj.前面的； 正面的； 舌前的 v.面向； 在...前面； 用...作正面； 领导
fruit|n. 水果 vt. &vi. 结果实
frustrate|vt. 挫败,击败,破坏 adj. 无益的,挫败的,挫折的
frustrated|adj. 沮丧的，失败的，失意的
full|adj.满的，装满的； 完全的，完整的； 丰富的； 详尽的 adv.极其，十分； 充分地，完全地； 整整； 直接地 n.充分，完全； 全部； 完整； 极盛时 v.把衣服缝得宽大； 把裙子缝出皱褶； [印]蒸洗，漂洗
fun|n. 乐趣,玩笑,有趣的人或事物 vi. 开玩笑 adj. 充满乐趣的,令人愉悦的
funny|adj. 滑稽的,有趣的,莫名其妙的 n. 笑话,(the funny)滑稽戏
future|adj. 将来的 n. 将来,未来 n. 期货
game|n. 游戏, 比赛, 行业, 非法手段, 策略, 猎物, 野味, 戏弄 vi. 赌博 vt. 欺骗 adj. 乐意做的, 勇敢的, 跛的
garden|n. 花园, 果园, 菜园, 草地 vi. 栽培花木, 从事园艺工作 vt. 造园, 以花园装饰 adj.花园的, 园艺的, 绿化的, 平凡的
gate|n. 大门
gatekeeper|n. 看门人, 门卫
generosity|n. 慷慨, 大方
gently|adv. 轻轻地, 温柔地
geography|n. 地理
German|adj. 德国(人)的,德语的,日耳曼的 n. 德国人,德语,日耳曼人
Germany|n. 德国
get|vt. 使得；获得；受到；变成 vi. 成为；变得；到达
together|adv. 一起，共同，相结合，同时地，协调地 adj. 头脑清楚的，镇定的
ghost|n. 鬼,幽灵,一丝 vt. &vi. 像(鬼一样)地行进
gift|n. 礼物,天赋,赋予 vt. 赠送,赋予
girl|n. 女孩,女儿
give|vt.& vi.给予； 赠送； 作出 vt.供给； 产生； 举办； （为购买某物或做某事而）支付 vi.（物体）塌下； 让步 n.伸展性，弹性
glad|adj.高兴的，乐意的； 令人高兴的，使人愉快的； （风光）明媚的，（景色）美丽的； 充满欢乐的，兴高采烈的 vt.使高兴
glass|n. 玻璃, 玻璃器皿, 窗户, (复)眼镜,透镜 vt. 用玻璃把...盖（或罩、围）住,给...装上玻璃, 使成玻璃状, 反映, 反射, 审视 vi. 成为玻璃状, 用光学仪器眺望
gleam|n. 微弱的闪光, 瞬息的一现 v. 闪烁, 隐约地闪现
globe|n. 地球, 地球仪, 球体
glove|n. 手套 vt. 给...戴手套
go|vi. 去, 走, 变得, 进行, 放, 通往, 消失 vt. 走过, 称重 [计算机] 执行
goal|n. 目标，目的； 球门； 终点；
goat|n. 山羊,好色之徒,替罪羔羊
gold|adj. 金色的,金制的 n. 金子,金币,金黄色,金牌
good|n. 善行,好处 adj. 好的,优良的,上等的 [pl.]商品
goodbye|int. 再见 n. 说再见
goodness|n. 善良, 美德，精华 int. 天哪
government|n. 政府,政体,统治
grab|vt. &vi. 抓取,抢去，吸引注意 n. 抓,接应,掠夺 n.不法所得； 被抓住的人； 抓取装置
grade|n. 年级,成绩,分数,等级,级别 vt. 分级,记成绩
graduate|vt. 毕业;(在表、计、尺上)刻[分]度,定等级 vi. 毕业,获学位,逐渐变得 n. 毕业生 adj. 毕业的,获得学位的
grand|adj. 豪华的,宏伟的,壮丽的,主要的,重大的 n. (美俚)一千美元
grandfather|n. (外)祖父
grandma|n. (口语)奶奶, 外婆
grandmother|n. (外)祖母
grandpa|n. 爷爷, 外公
grape|n. 葡萄
grass|n. 草 vt. 以牧草喂养,覆盖着草
grateful|adj. 感激的, 感谢的
great|adj. 大量的, 很好的, 美好的, 伟大的, 重要的 adv. (口语)好极了
green|adj.绿色的； 未熟的，青春的； 未成熟的； 主张保护环境的 n.绿色蔬菜； 绿色的衣服； 植物 vi.绿化，使重视环境保护问题
greenhouse|n. 温室, 暖房
greet|vt. 问候,致敬,欢迎,映入眼帘
grey|adj. 灰色的 n. 灰色(的) v. 变成灰色 [=gray] vi. 变成灰色
ground|n. 土地,战场,场地,根据,背景 vt. 放在地上,使...搁浅,打基础 grind的过去式和过去分词
group|n. 团体,组,团 vt. &vi. 聚合,成群 [计算机] 成组
grow|vt. &vi. 种植,生长,变成,逐渐开始
guess|n. 猜测,推测,猜想 vt. &vi. 猜测,推测
guide|vt.引路； 指导； 操纵； 影响 n.指导者； 向导； 导游； 有指导意义的事物
hair|n. 头发, 毛发, 毛织物, 极少量, 极短距离
half|adj. 一半的, 不完全的 adv. 一半地 n. 半, 一半
way|n. 方法,道路,方向,作风,(某)方面,程度,状态 adv. 非常,很多,很远 adj. 与路线的中间点相关的,路线的中间点
hall|n. 大厅, 礼堂
hamburger|n. 汉堡包
hand|n. 手,掌握,协助 vt. 帮助,给 adv. 手动地,人工地
handicraft|n. 手工艺, 手艺, 技巧
handwriting|n. 笔迹, 书法
hang|vt.悬挂； （被）绞死； 贴，装饰； 使悬而未决 vi.悬垂； 被吊死； 附属，依靠； 悬而未决 n.悬挂的样子； （动作的）暂停； 〈口〉大意，要点； 〈口〉做法，诀窍
happen|vi. 发生,碰巧,出现,偶然遇到
happily|adv. 幸福地, 快乐地, 幸好 形容词happy的副词形式
happy|adj. 快乐的,幸福的,乐于做某事
hard|adj. 坚硬的;艰难的,苛刻的 adv. 努力地,猛烈地,坚定地
hardly|adv. 几乎不
hardworking|adj. 努力工作的，勤奋的
harm|n. 伤害 vt. 伤害
harvest|n. 收获(期),成果,收获物 vt.& vi. 收割,收获
hat|n. 帽子,职位 vt. 给...戴帽子 vi. 提供帽子
hate|n. 憎恨,厌恶,厌恶的人或事 vt. 憎恨,不愿 vi. 表示憎恨
have|aux. 已经,曾经 n. 吃,从事,得到,雇用,享有,有,允许 v. 有
Hawaii|n. 夏威夷(美国州名)
he|pron. 他
head|n. 头脑,领袖,冷静，硬币的正面，顶端，高潮 vt. &vi. 为首,朝向,前进，超过，起源 adj. 首要的，前面的
headache|n. 头痛
headmaster|n. (中小学的)校长
heal|vt. 痊愈,恢复,和解 vi. 痊愈
health|n. 健康,卫生,保健
healthy|adj. 健康的
hear|vt. &vi. 听到,得知,倾听,听证
heart|n. 心,中心,要点,在扑克牌中指红桃 v. 鼓起勇气,激励
heavily|adv. 很重地, 沉重地, 沉闷地
heavy|adj.重的，沉重的； 大量的，浓密的； 激烈的； 重型的 n.重物； 庄重的角色 adv.密集地； 大量地； 笨重地
height|n. 高度,高处,身高, 最高峰, 极点
hello|int.（见面打招呼或打电话用语）喂,哈罗
help|n. 帮助,援助 vt. &vi. 帮助,改善
helpful|adj. 有帮助的, 有益的
hen|n. 母鸡
her|pron. 她的 adj. 她的 abbr. =heraldry
here|adv.在这里； 这时； 在这一点上； （给某人东西或指出某物时说） n.这里 int.喂； 嗨
hers|pron. 她的（宾格）
herself|pron. 她自己
hey|int. 嗨
hi|int. 嗨, 引人注意时的喊声, 打招呼
hide|vt.隐藏； 躲避，隐匿，躲藏； 遮蔽，覆盖 vi.隐瞒； 遮住； 遮挡； 掩盖 n.兽皮； <口>生命； <口>人的皮肤； （观看野生动物的）隐蔽处
seek|n. 找寻 v. 寻求,寻找,搜索
high|adj.高的,轻微变质的,高尚的,严重的,强的 adv. 高,好 n. 高地,天堂,高气压,高度,兴奋
hike|n. 徒步旅行,远足,涨价 vi. 远足,提高 vt. 突然拉动或提高,涨...的价,徒步跋涉过
hiking|n. 徒步旅行
hill|n. 小山, 小堆, 斜坡 vt. 堆起, 培土
him|pron. 他(宾格)
himself|pron. 他自己
his|pron. 他的
history|n. 历史
hit|n. 打(击),冲撞,讽刺,成功.一次毒品的剂量,点击量 vt. 打(击),碰撞,偶然发现,要求,符合 vi. 打(击),袭击,达到
hobby|n. 业余爱好
hold|vt.拿住，握住； 保留，保存； 扣留，拘押； 容纳 vi.拿住，握住； 同意，赞成； 保持不变； 有效 n.握住； 保留； 控制
hole|n. 孔,洞,穴 vt. &vi. 挖洞,掘坑,进洞
holiday|n. 假期,假日 vi. 度假
home|adj. 家(乡)的 adv. 回家, 在家, 正确的方向 n. 家, 住所, 国内的, 养老院 vt. 提供住处 vi. 回家, 移向
hometown|n. 家乡
homework|n. 家庭作业
honey|adj. 蜂蜜似的,深爱的 n. (复数)蜂蜜,宝贝,爱人 vt. 加蜜使甜,对...说甜言蜜语 vi. 说甜言蜜语,奉承
Honolulu|n. 火奴鲁鲁，（即檀香山，美国夏威夷州的首府和港市）
hope|n.希望，期望； 希望的东西； 被寄予希望的人或事物、情况； 抱有希望的理由 vt.& vi.希望，期望 vt.[俚语]相信，认为 vi.希望，盼望，期待
horse|n. 马 vt. 骑马 adj. 马的
hospital|n. 医院
hot|adj. 热的,热情的,辣的,性感的 adv. 激动地,快速地 n. 最高温度,滚烫的东西
hotel|n. 旅馆，宾馆，酒店，饭店
hour|n. 小时,钟点
house|n. 房子,住宅,全家人,议院 vt. 提供住,安置, 收容 vi. 居住, 躲避
housework|n. 家务劳动
how|adv. 如何,怎样,多么,多少 conj. 如何,怎样,以...方式 n. 方式
however|adv. 然而 conj. 然而, 可是, 不过
hug|n. 紧抱,拥抱 vt. 紧抱,固执,挨着, 停靠 vi. 紧抱, 紧紧靠着
huge|adj. 巨大的,程度高的
human|n.人，人类 adj.人的； 有人性的； 显示人类特有弱点的； 人本性的
hundred|n. 百,百个东西 adj. 百,百个
hungry|adj. 饥饿的，渴望的
hurry|n. 骚乱,匆忙, 急需 vt. 催促, 加快, 迅速处理 vi. 快速移动
hurt|vt. 伤害,(使)疼痛, 损害 vi. 受疼痛，破坏 n. 打击，创伤
husband|n. 丈夫 vt. 节俭
ice|n. 冰, 矜持 v. 冰冻, 结冰
iceberg|n. 冰山, 冷若冰山的人
icon|n. 肖像, 偶像, 象征, 图符 [计算机] 图标,图符
ID|n. 私我，本我 abbr. 身份证（=identification）
idea|n. 主意, 想法, 观念
if|conj. 如果，是否，即使 n. 条件,设想
ill|adj. 坏的,有病的,引起痛苦的,敌意的 adv. 恶劣地,勉强的 n. 邪恶,不幸,祸害,坏话
imagine|vt. 想像,幻想,猜测 vi. 想像起来,认为
important|adj. 重要的,影响很大的
impossible|adj. 不可能的
improve|vt. 改进,利用,(提高)价值 vi. 改进
increase|v. 增加, 提高 n. 增加, 增强, 提高
India|n. 印度
Indian|n. 印第安人, 印度人 adj. 印度的，印度人的，印第安人的
Indiana|n. 印第安纳州（美国中北部的一个州）
information|n. 信息, 情报, 新闻, 资料, 询问
injection|n. 注射,注射物,数学函数
insect|n. 昆虫
inside|adj. 里面的 adv. 在里面 n. 内部 prep. 在...里面
inspector|n. 检查员, 巡视员
instead|adv. 代替, 反而
instruction|n. 说明,须知,指令,教学
interest|n. 兴趣, 嗜好, 利息; 股份 vt. 使...感兴趣
interested|adj. 感兴趣的
interesting|adj. 有趣的
Internet|n. 因特网
interview|n. 面谈,访问,接见 vt. 接见,对...进行面谈(试) vi. 面试, 采访
into|prep. 到...里
intonation|n. 语调, 声调
introduce|vt. 介绍, 引进, 采用, 提出, 提倡, 放入
Inuit|n. 因努伊特人
invent|v. 发明 vt. 发明,创造
invention|n. 发明,发明物,虚构,虚构物
inventor|n. 发明家，创造者
invite|vt. 邀请,要求 n. 邀请
is|be 的一般现在时单数第三人称陈述语气
island|n.岛，岛屿 vt.使孤立
it|pron. 它
Italian|adj. 意大利的 n. 意大利人
Italy|n. 意大利
its|pron.（it的所有格)它的
itself|pron. 它自己, 它本身
jacket|n. 短上衣, 茄克衫
January|n. 一月
Japan|n. 日本 n. 日本漆, 日本式漆器 n. 日本式物品
Japanese|n. 日本人,日语 adj. 日本的，日本人的，日语的
jealous|adj. 妒忌的,戒备的
jeep|n. 吉普车
job|n. 工作,职责,任务 vt. 投机买卖,营私舞弊,不公正地判罚,分包任务 vi. 工作,假公济私,做分销商或批发商 adj. 与工作有关的
join|v. 参加, 结合, 联合, 加入
joke|n. 笑话,玩笑 vt.& vi. 开玩笑
journalist|n. 记者, 新闻工作者
journey|n. 旅程, 旅行, 行程 v. 旅行
judge|vt.& vi.审判，评判； 断定 vt.估计； 评价； （尤指）批评； 想，认为 n.法官； 裁判员； 评判员； 鉴定人
juice|n. 细胞液,内在本质,汽油,果汁,唾液, 体液 vt. 加液体,榨出...的汁液
mainland|n. 大陆, 本土
make|vt.做，制造； 生产，制定； 使成为； 使产生 vi.开始； 尝试； 行进； 增大 n.制造； 生产量； 性格； 形状，样式
man|n. 男人,人类,人 vt. 为...配备人手,使...振奋
manager|n. 经理
made|adj. 制造的，捏造的，拼成的，肯定会成功的 动词make的过去式和过去分词形式
many|n. 许多人,许多 adj. 许多的 pron. 许多人或物
map|n. 地图 v. 映射,绘制...之地图,计划 [计算机] 存储区分配图
march|n. (March)三月 n. 示威游行 vt. 使前进,使行军 vi. 行军,进军
mark|n. 污迹, 标记, 分数, 烙印, 纪录 vt. 做标记于, 留意, 打分数, 留下污痕, 使...明显 vi. 做标志, 记分, 留下印记
market|n. 市场,交易,推销地区 vt. 在市场上交易,使...上市 vi. 在市场上买卖
marry|vt. &vi. 结婚,结合
mashed|adj. 捣烂的 动词mash的过去式和过去分词形式
match|n. 比赛, 火柴, 对手, 般配的人, 配偶 v. 使...相配, 与...竞争, 相配
math|n. 数学
maths|n. 数学 =mathematics（英）
matter|n. 事件, 物质, 原因 vi. 有关系
may|n. 五月, 青春 v. aux.可能,可以,祝愿
maybe|adv. 大概,也许 n. 不确定性
me|pron. 我(宾格)
meal|n. 膳食,一餐,谷物粗粉 vi. 进餐
mean|n.平均值, 平均数; 中部 adj. 低劣的, 卑贱的; 卑鄙的; 吝啬的 adj. 平均的, 中等的 v. 意味, 想要, 意欲
meaning|n. 意义,意思,含义 adj. 意味深长的
meat|n. 肉,主要或重要部分
mechanic|adj. 手工的 n. 技工,机修工
mechanical|adj. 机械的,力学的,呆板的 n.(供制版用的)样书, 版面设计
medicine|n. 药, 医学
meet|n. 集会,比赛, 运动会 adj. 适宜的,合适的 vt. 遇见,引见,经历,结识,对付,满足,支付 vi. 相遇,集合,交锋,相交
meeting|n. 会议
Melbourne|n. 墨尔本（澳大利亚城市）
melon|n. 甜瓜
member|n. 成员, 会员, 部位
memory|n. 记忆,内存,回忆
mend|n. 修补, 改进, 修补处 vt. 修改, 改进 vi. 改过自新, 改进, 痊愈
mention|vt.提到，说起； 提名表扬 n.提及
menu|n. 菜单
merry|adj. 欢乐的,愉快的,敏捷的
message|n. 消息,信息,要点 vt. &vi. 传递信息, 通讯
metal|n. 金属,质料 adj. 金属制的 v. 以金属覆盖
metre|n. 米, 公尺，计量器 n. （诗的）韵律，格律 =meter(美)
Mexico|n. 墨西哥
microcomputer|n. 微电脑 [计算机] 微机计算机
mid|adj. 中间的，[语]央元音的 prep. 在 ... 的中间 abbr. 移动互联网设备 (=Mobile Internet Device)
writer|n. 作者, 作家
write|v. 写
wow|n. 巨大的成功 int. 哇！
would|aux.将，将要； 愿意； 会，打算； 大概 v.(will 的过去式，用于转述)将
worst|adj. 最坏的, 最差的 adv. 最坏, 最差 n. 最坏, 最差, 最糟
worse|adj. 更坏的,更差的 adv. 以更坏的方式,变得更坏 n. 更坏的事物
worry|n. 烦恼,忧虑,苦恼 vt. 使...烦恼,使...焦虑, 叼住某物甩或拉 vi. 感到苦恼,感到焦虑
worried|adj. 担心的，烦恼的 动词worry的过去式和过去分词
worm|n. 虫,蠕虫 vt. 蠕动,驱虫,慢慢探听出 vi. 蠕动
world|n. 世界(人),领域,俗世
workplace|n. 工作场所
worker|n. 工人，工作者
work|n. 工作,作用,成果,作品,善行,工艺,奏效,建筑工程,工厂,(机械)活动部件 adj. 工作的 vi. 创造, 实现, 有工作, 起作用, 操作, 正常运转, 成功, 产生影响, 逐渐进行, 处理 vt. 造成, 产生, 使运转, 锻造, 奋力达到, 利用
word|n. 词, 单词, 消息, 诺言 vt. 用词语表达
woollen|n. 毛织品 adj. 羊毛制的
woolen|n. 毛制品 adj. 羊毛的, 羊毛制的, 毛织的
wool|n. 毛线,毛织品,羊毛
wood|n.木材； 树林； 木制品 vi.收集木材 vt.在...植树造林； 给...添加木柴 adj.木制的； 失去理智的
wonderful|adj. 极好的, 精彩的
wonder|n. 惊奇；奇迹；惊愕 vi. 怀疑；想知道；惊讶 vt. 怀疑；惊奇；对...感到惊讶 adj. 奇妙的；非凡的
women|n.女人们,妇女 名词woman的复数形式
woman|n. 妇女, 女人
wolf|n. 狼
witness|vt. 目击,见证, 出席, 观察, 经历 n. 目击者,证人 vi. 为(宗教信仰)做见证, 证明
without|adv.在外部； 户外； 缺少； 没有或不显示某事物 prep.没有，缺乏； 在外面 conj.除非，如果不
with|prep. 和...一起,用, 随着, 包括
witch|n. 女巫, 巫婆 vt. 施巫术 vi. 用神杖发现地下水源或矿物
wish|n. 渴望,愿望,(复数)祝颂,命令 vt. &vi. 想要,希望
wise|adj. 明智的,有学问的,有智慧的,聪明的 n. 方式 vt. 引导 vi. 学
winter|n. 冬天,年,萧条期 adj. 冬天的,冬季生长的 vt.& vi. 过冬
winner|n. 获胜者
wine|n. 酒,葡萄酒,紫红色 vt. &vi. 喝酒,请喝酒
windy|adj. 有风的, 多风的
window|n. 窗户
wind|n. 风,气流,风向,管乐器,动向,潮流,空想, 卷绕,一圈 vt. 上发条,缠绕,蜿蜒,使...喘气,使...通风,吹奏 vi. 卷曲, 吹响号角, 迂回
win|n. 胜利 vi. 胜利,成功 vt. 赢得,战胜
will|aux.将，将会； 会，要 n.愿意； 意志（力）； [法]遗嘱 vt.决心要； 将（财产等）遗赠某人； 用意志力驱使（某事发生） vi.愿意， 希望， 想要
wildlife|n. 野生动物
wild|adj. 放荡的,未开发的,野生的,原始的 n. 荒野,野生状态 adv. 野性地,未被约束地,偏离预计路线地
wife|n. 妻子,夫人
widely|adv. 广泛地
wide|adj. 广泛的,宽阔的 adv. 广大地,全部地
why|adv. 为什么 conj. ...的理由, 为什么 int. 咳, 哎呀 pron. 为何, 为什么
whose|pron. 谁的
whom|pron. [who的宾格]谁
whole|adj. 整个的, 完全的, 未受损的, (人)全面发展的 n. 全部, 通常情况 adv. 完全地, 统一地
who|prep. ...的, 谁, 他, 她, 他们 pron. 谁
white|adj. 白色的,白种的,纯洁的,幸运的 n. 白色,白种人
while|conj. 当...的时候,然而 n. &adj. 一会儿 vt. 消磨
which|pron. 哪一个 adj. 哪一个,哪一些
whether|conj.&amp;adv. 是否
wherever|adv. 无论什么地方，在......的各个地方 conj. 无论在哪里
where|adv.哪里，在哪里； 到哪里； 某种情势或位置 conj.在...的地方 n.地方，场所 pron.哪里
whenever|adv. 无论何时 conj. 每当, 无论何时, 随时
when|adv.什么时候； （用于时间的表达方式之后）在那时； 其时； 当时 conj.在...时； 既然； 如果 pron.什么时候； 那时 n.时间，时候； 日期； 场合
wheel|n. 轮子,周期,旋转运动 vi. 旋转,转动 vt. 推或拉车,传送,打圈,装以车轮
wheat|n. 小麦, 小麦色
what|pron. 什么,...的事情,无论什么 adv. 什么,怎么 adj. 什么,任何
wet|adj. 湿的,雨天的 n. 潮气,雨天 vt.& vi. (使)弄湿
westerner|n. 西方人，（美国的）西部人
western|n. 西方人, 西部片, 西部小说 adj. 西方的, 西洋的, 西部的
west|adj. 西方的 adv. 向(在)西方 n. 西, 西方
were|be动词的复数过去式，are的过去式
well|n. 井,源泉,楼梯井 adj. 健康的,良好的,适宜的 adv. 很好地,适当地 vi. 涌出 interj. 好吧,啊
welcome|vt.欢迎； 乐于接受 adj.受欢迎的； 令人愉悦的； 表示感谢的 n.欢迎，迎接
weight|n. 重量,体重,重担 vt. 使...负重, 使倾斜
weigh|vt. 权衡；考虑；称...重量 vi. 重量为...；具有重要性；成为...的重荷；起锚 n. 权衡；称重量
weekly|n. 周刊, 周报 adj. 每周的, 一周一次的, 周刊的 adv. 每周, 一周一次
weekend|n. 周末 vi. 过周末 adj. 周末的, 兼职的
weekday|n. 工作日
week|n. 星期, 周
Wednesday|n. 星期三
wedding|n. 婚礼
weather|n. 天气,气候,气象 vt. (因受风吹,日晒,雨淋等,使)褪色, 平安度过 vi. 变色,变形, 经受住(困难) adj. 天气预报的, 上风的
wear|n. 穿著,磨损,耐久性 vt. 穿著,用旧,耗损,呈现 vi. 磨损, 变旧
weak|adj. 不充分的, 淡薄的, 弱的, 虚弱的, 无力的
we|pron. 我们 abbr. =Wednesday
wave|n. 波,波浪,波动 vi. 波动, 挥动, 起伏, 挥手 vt. 使成波形
water|n. 水,雨水,海水，潮汐，海域 vt. 浇水,给水喝，给...供水,给（饮料等）掺水 vi. 形成水，喝水
ski|adj. 滑雪（用）的 n. 滑雪，滑雪板 vt. & vi. 滑雪
waterfall|n. 瀑布
watchtower|n. 瞭望塔
watch|n. 手表,注视 vt. 观察,监视,注视,照顾,等待 vi. 留意,观察
waste|vt. 浪费, 使瘦弱, 逐渐消耗 vi. 挥霍, 规模缩小, 大伤元气 adj. 荒芜的, 未开垦的, 废的 n. 浪费, 废料, 垃圾, 荒漠, 凄凉的景象
washroom|n. 盥洗室, 厕所
was|prep. is, am的过去式，是
wash|v. 洗, 洗涤, 洗清 n. 洗, 洗濯
warn|vt. 警告,注意,远离 vi. 提醒
warm|adj. 暖和的,快要发现的,热心的,新鲜的 vt. &vi.(使)变暖，（使）变得更友好, 加温 adv. 温暖地
wardrobe|n. 衣柜，衣橱 n. 全部服装
war|n. 战争 vi. 作战
want|n. 缺乏, 贫困, 欲望, 需要, 不足 vi. 要, 希望, 必须 vt. 缺少, 渴望, 喜欢, 应该
walnut|n. 胡桃,胡桃木,胡桃色,茶色
wallet|n. 皮夹,钱包
wall|n. 墙壁,垣,绝境 vt. 堵塞, 分割, 用墙围住, 演戏般地转动(眼睛) vi. 演戏般地转动(眼睛)
walk|n. 散步,步行,生活 vt. 走过,走路,遛(狗),巡视 vi. 走路
wake|vt. 守灵,叫醒,醒来 vi. 醒,叫醒 n. 清醒,守护神节日,守灵,尾流,后果
waiting|n. 等候 adj. 候补 动词wait的现在分词
waiter|n. 侍者,(男)服务员 n. 托盘
wait|vt.& vi.等候； 等待； （尤指长期地）希望； 盼望 vi.准备妥； 在手边； 可得到； 可使用 vt.推迟，搁置，延缓
wag|vt. 摇摆；摇动；饶舌 vi. 摆动；喋喋不休；蹒跚而行 n. 摇摆；爱说笑打趣的人
vowel|n. 母音, 元音
volleyball|n. 排球
voice|n. 声音,嗓音,呼声,歌唱才能 vt. 表达,调整声音,发音
visitor|n. 参观者, 访问者，访客
visit|n. 拜访,访问 vt. 拜访,访问,参观 vi. 参观, 巡视, 逗留
village|n. 村庄
video|adj. 录像的 n. 录像(机) vt. 制作...的录像
victim|n. 受害者,牺牲
vet|n. 兽医，老兵 vt. 诊疗，审查 vi. 作兽医
very|adj. 真正的,完全的,自己的,仅仅的,同一个,特别的 adv. 真的,非常
vehicle|n. 传播媒介, 工具, 手段, 交通工具, 车辆;
vegetable|n. 蔬菜；植物人；生活单调乏味的人 adj. 植物(性)的；得自植物的；关于植物的；蔬菜的
usually|adv. 通常
usual|adj. 通常的
useful|adj. 有用的
used|adj. 使用过的, 二手的, 习惯的 v. 用, 以前曾经 vbl. 用, 习惯
use|n. 运用,用法,使用权,适用 vt. 使用,利用,对待 vi. 吸毒
USA|abbr. (=United States of America)美国
us|pron. 我们(we的宾格)
upstairs|adj. 楼上的 adv. 在楼上, 往楼上，高水平地，上层地，头脑上地 n. 楼上
up|adv. 向上,增加,用尽,完全,储存,靠近 adj. 向上的,直立的,完成的,高兴的,在进行的 prep. 向上,迎着 n. 上司,上坡,繁荣,上面 vt. 升起,增加 vi. 上升
unusual|adj. 不平常的, 异常的
until|prep. 直到...为止 conj. 直到...时才...
unlucky|adj. 不吉利的,不祥的,不幸的
unlike|adj. 不同的, 不相似的 prep. 不像, 和...不同
unless|conj. 除非 prep. 除...外
unknown|adj. 未知的，不出名的
university|n. 大学
universe|n. 宇宙
unique|adj. 独一无二的, 独特的, 稀罕的
