visit|v.拜访；参观；闲谈; n.拜访；参观；聊天
exercise|n.运动；练习；作业; vt.运用; vi.锻炼
fork|n.叉；叉状物; vi.分叉; vt.使成叉形；用叉叉起
fifteen|num.十五
exhibition|n.展览；展示
enemy|n.敌人；敌军；有害物
fifteenth|num.第十五
form|n.形式；形状；表格；良好的健康状态；表现状态；常规; v.形成；建立
expect|v.预期；期待；盼望
energy|n.精力；活力；能源
expensive|adj.昂贵的；高价的
forty|num.四十; adj.四十; pron.四十(个；只...)
fifth|num.第五; n.五分之一
engineer|n.工程师；机(械)师; vt.设计；建造；策划
forward|adj.向前的；前部的；未来的；将来的；莽撞的；热心的；早熟的; adv.向前地; v.促进；转交；发送; n.[体]前锋
fifty|num.五十
experience|n.经验；经历; v.经历；体验；感受
England|n.英格兰；英国
found|v.建立；创立；创办；熔铸；找到，发现（动词find的过去式和过去分词）
experiment|n.试验；实验；尝试; vi.尝试；做实验
English|n.英语；英国人; adj.英语的；英国人的；英国的
fill|vt.装满；弥漫；填充；担任; n.足量
four|num.四
explain|v.说明；解释
enjoy|v.享受；喜欢
discuss|v.讨论；论述；商量
dark|adj.黑暗的；深色的; n.黑暗；暗处；深色调; v.使变黑；变黑
copy|n.复制品；抄本；副本；一册；一份; v.复制；抄写；抄袭
coal|n.煤；木炭; vt.烧成炭；供应煤; vi.加煤；装煤
date|n.日期；年代；会晤时间；约会；约会对象；枣椰树；枣子; v.给...标明日期；确定年代；过时；显老；和...约会；追溯到
discussion|n.讨论；谈论
corner|n.角落；转角；困境; v.将...逼入困境；转弯；垄断; adj.位于角落的
coat|n.外套；上衣；层；表皮; vt.涂上；覆盖；包上
daughter|n.女儿；子代; adj.女儿的；女儿似的
disease|n.疾病; v.使…生病，感染
correct|adj.正确的；得体的; v.改正；纠正
coffee|n.咖啡；咖啡色
dish|n.盘；碟；一道菜；菜肴；碟状物; vt.使成碟状；装盘; vi.闲谈
day|n.白天；一天；时代
cost|n.费用；成本；代价；[律]诉讼费用; v.花费；使付出；使做不愉快的事；估算成本
coin|n.硬币；金钱; vt.铸造（钱币）；创造（新词）; adj.硬币的；投币的
dislike|v.不喜欢；厌恶; n.不喜爱；厌恶；反感
dead|adj.死的；不起作用的；无趣的；筋疲力尽的；麻木的；完全的；无效的；沉闷的；（指球）界外的; adv.完全地；直接地；突然地
costume|n.服装；剧装; vt.提供服装；为...设计服装; adj.服装打扮的
cola|n.可乐
dismiss|vt.开除；解散；屏除；（法律）驳回
deaf|adj.聋的；充耳不闻的
cotton|n.棉花；棉制品；棉布
cold|adj.冷的；寒冷的；冷酷的；冷淡的；冷静的; n.寒冷；感冒；伤风; adv.完全地；彻底地
deal|n.协定；交易；大量; v.应付；分配；处理；交易；经营
display|n.显示；陈列；炫耀; vt.显示；表现；夸示
cough|v.咳嗽；咳; n.咳嗽
collect|v.收集；聚集；募捐；运走；使（自己）镇定
distance|n.距离；路程；远方; vt.与...保持距离；把(对手)甩在后面
dear|adj.亲爱的；宝贵的；昂贵的; n.可爱的人；亲爱的人; adv.高价地; int.啊；哎呀(用以表示惊奇、害怕以及其他强烈感情)
could|aux.可以；能；可能；can的过去式
college|n.学院；大学；学校；枢机主教团；社团
district|n.地区；行政区; vt.把...划分成区
death|n.死；死亡；毁灭；死因
count|v.计算；视为；依赖；重要，有价值; n.计数；总数; n.伯爵（欧洲国家的贵族头衔）
color|n.颜色；彩色；颜料; vt.渲染；把...涂颜色; vi.脸红；着色；影响，左右; =colour（英）
December|n.十二月
disturb|v.扰乱；妨碍；使...不安；打破...的平静；打乱...的治安
country|n.国家；乡村；区域；乡村音乐; adj.乡村的；国家的；故乡的；乡村音乐的
combine|v.联合；使结合；结合; n.集团；联合收割机；联合企业
divide|vt.划分；隔开；分割；[数]除; vi.分裂；分开; n.分水岭；分歧；分
decide|v.决定；判断；断定
couple|n.对；夫妇；数个; v.连结；交配
come|v.来；来到；来取、来拿；成为；达到；接近；摆出...的样子；处于（某个位置）
do|v.做；干; n.注意事项；聚会；事情
deep|adj.深的；深刻的；深奥的；深切的; adv.深深地; n.深处
courage|n.勇气；胆量
comedy|n.喜剧；滑稽；幽默事件
doctor|n.博士；医生; v.篡改，伪造；阉割
degree|n.学位；程度；度数
course|n.课程；讲座；过程；路线；一道(菜); v.跑过，穿过；追赶；快跑
comfortable|adj.舒适的；充裕的
delicious|adj.美味的；可口的
documentary|n.纪录片; adj.纪实的；文件形式的
court|n.法院；庭院；宫廷；球场；奉承; v.献殷勤；追求；招致；设法获得
comma|n.逗号；停顿；间歇；银纹多角蛱蝶
dog|n.狗；家伙；卑鄙的人；没用的东西; vt.（灾难等）缠住；跟踪
dentist|n.牙科医生
cousin|n.堂(或表)兄弟(姐妹)
comment|n.注释；评论；闲话; v.评论；注释
department|n.部门；系；科；处；局; n.知识范围
doll|n.玩具娃娃；美貌女子；有吸引力的人; v.打扮
cover|n.封面；盖子；套子；表面; v.覆盖；涉及；包含；掩护；给…保险
common|adj.常见的；共同的；普通的；平常的；平凡的；粗俗的; n.公地；平民；普通；公园
dollar|n.美元
depend|vi.依赖；依靠；取决于
cow|n.母牛；雌象；雌鲸；雌犀牛；女人; v.恐吓
communicate|v.传达；沟通；交流
describe|vt.描述；说成；形容；画(尤指几何图形)
donate|v.捐赠；捐献
crazy|adj.疯狂的；荒唐的；着迷的; n.荒唐的人; adv.疯狂地
company|n.公司；商号；陪伴；同伴；客人；[军]连；一群; v.陪伴
design|n.设计；图样；图案；目的; v.设计；计划
door|n.门；门口；途径
cream|n.奶油；乳酪；面霜；精华；米色; v.凝成乳脂；起泡沫；撇去乳脂；提取精华；使成糊状；涂面霜；彻底打败
compare|v.比较；对比；比喻; n.比较；对照
dormitory|n.集体宿舍; n.【美】学生宿舍楼
create|v.创造；造成; adj.创造的
competition|n.竞争；比赛
dessert|n.甜食，餐后甜点
double|adj.双重的；成双的；两倍的; v.翻一番；使...加倍; n.两倍；双份
complain|vi.抱怨；控诉；诉说
creative|adj.创造的，创造性的；创作的；产生的，引起…的（后接of）
destroy|v.破坏；杀死；消灭；摧毁
doubt|n.怀疑；疑惑；悬而未定; vt.怀疑；不信任; vi.不确定
complete|adj.完整的；完成的；彻底的; vt.完成；使完美；使圆满；填（表格等）
creature|n.生物；动物；人
develop|v.发展；发育；开发；冲洗(照片)
down|adv.向下; prep.沿着...而下; adj.向下的；消沉的；无礼的; n.绒毛；汗毛; v.击倒；打败；吞下；被抑制
criticize|v.批评；挑剔；评论；非难；吹毛求疵
computer|n.电脑；计算机
dialogue|n.对话; v.对话
dozen|n.(一)打；十二个; adj.一打的；十二个的
cross|v.穿过；交叉；杂交；反对；勾掉；碰见；阻挠; n.十字架；十字形；杂交动植物；苦难; adj.交叉的；相反的；生气的；杂交的
con|n.骗局；反对；反对的理由; adv.反面地；反对地; vt.精读；记诵
draw|v.拖；接近；画；提取；拉；绘制; n.平局；抽签；拉；拽；吸引人的事物
diary|n.日记；日记簿
concentrate|v.专心；集中；浓缩; n.浓缩物
dictionary|n.字典；辞典；词典
dream|n.梦；梦想; v.做梦；梦想
cruel|adj.残酷的；残忍的；引起痛苦的
concert|n.音乐会；一致；和谐; vt.协定；协同安排; vi.合作
dress|n.服装；女装; v.打扮；穿衣；穿着；给（某人）穿衣
die|v.死；枯竭；消失；渴望; n.骰子；印模；金属模子
cry|v.哭；(大声)叫喊；(强烈)要求; n.叫声；哭；喊
condition|n.条件；情况; v.训练；决定；以...为条件；护理（头发）
diet|n.日常食物；规定饮食；节食; n.（日本等国的）国会; v.节食；照规定饮食；喂食
culture|n.栽培；文化；教养; vt.培养，栽培
conference|n.会议；讨论会；协商会；会谈
confident|adj.自信的；有信心的；有把握的
difference|n.差异；不同；差额；分歧; vt.区别
drive|vt.开车；驱赶；迫使; n.驾车；驱使；推进力；路；快车道；街；[计]驱动器
cup|n.杯子；一杯之量；奖杯；罩杯; vt.使成杯形；把某物放入杯中
cupboard|n.碗橱；衣柜；壁橱
conjunction|n.结合；关联；连词；(事件等的)同时发生
drop|vt.落下；跌倒；下降；放弃；漏掉；断绝关系; n.滴；微量；减少；滴状物
difficult|adj.困难的；艰难的；(人)难对付的；不易相处的
drug|n.毒品；药; vt.使服麻醉药；使服毒品；掺麻醉药（或毒药）于
dig|v.挖；掘；翻土；探究；戳；捅; n.推；戳；挖掘；挖苦；住所
custom|n.习惯；风俗；惯例; （复）Customs:海关；关税; adj.定做的；定制的
connect|v.连接；接通；联系
cut|v.切；割；剪；削减；伤害；切牌; n.切口；切；式样；剪辑
consider|v.考虑；思考；认为；体谅；注视
drum|n.鼓；鼓状物；鼓声; vi.击鼓；连续敲击；引起兴趣; vt.灌输；击鼓；逐出
dinner|n.晚餐；晚宴；主餐
cute|adj.可爱的；聪明的，精明的，伶俐的；漂亮的; n.智取敌方的策略或手段；灵巧
continue|v.继续；连续；维持；持续
dry|adj.干的；干燥的；干旱的；口渴的；枯燥的; v.（使）变干
direct|adj.直接的；笔直的；坦白的; v.对准；指挥；指示；命令
dad|n.爸爸
control|n.掌控；控制；管制；克制；操作装置; v.控制；支配；掌管；抑制；克制
dirty|adj.脏的；肮脏的；下流的；卑鄙的；腐败的；不正当的; v.弄脏；玷污
duck|n.鸭肉；鸭；亲爱的人; v.躲避，闪开；潜入
daily|adj.每日的；日常的; adv.每日；天天; n.日报; (复)dailies：工作样片.
convenient|adj.便利的；方便的
disabled|adj.残废的；有缺陷的
dull|adj.呆滞的；钝的；迟钝的；无趣的；暗的; v.变钝；迟钝
conversation|n.谈话；会话
dance|n.舞会；跳舞；舞蹈；舞步; vi.跳舞；手舞足蹈; vt.跳舞；使跳跃
disadvantage|n.不利；不利条件；损害；损失
cook|n.厨师；炊事员; v.烹调；烧煮；捏造；纂改(账目)
during|prep.在...期间
danger|n.【U】危险; n.【C】危险物（或人）；威胁
disappointing|adj.令人失望的; 动词disappoint的现在分词.
cookie|n.饼干；家伙
dangerous|adj.危险的；不安全的
discover|v.发现；偶然撞见；发觉
duty|n.义务；职责；责任；税；关税
cool|adj.凉爽的；凉的；冷静的；冷漠的; vt.(使)变凉；(使)冷却；(使)冷静; vi.变凉；冷静下来; n.凉爽；冷静；凉快; adv.冷静地
dare|vt.敢；挑战；冒...的风险; vi.勇于；胆敢; aux.胆敢; n.胆量；挑战
discovery|n.发现；发现物
each|pron.每个；个人；个自; adj.每；每个; adv.每个
both|adj.两者的; pron.两者; conj.不但...而且...
camera|n.照相机；摄像机
cheat|vt.欺骗；骗取; vi.作弊；行骗; n.骗子；欺骗
behave|v.表现；行为；举止
camp|n.野营；帐篷；营地; v.宿营；露营；扎营
bother|v.烦扰；使恼怒；使不安；费心; n.麻烦；烦扰；焦急
behind|prep.在...之后；迟于...；落后于；基于；追赶; adv.在后面地；落后地；迟；不如; n.屁股
can|aux.可以；能; n.罐头; v.罐装；解雇
bottle|n.瓶子; vt.抑制；把...装入瓶内
cheer|n.欢呼；激励；愉快; vt.鼓舞；加油；快活起来; vi.欢呼；使振奋
believe|v.相信；认为
Canada|n.加拿大（位于北美洲北部）
bottom|n.底部；底端; adj.底部的; v.触底；打(基础)
cheese|n.干酪；乳酪；奶酪; vt.使停止
bel|n.贝尔(音量单位); Bel.; n.贝尔(女子名)
cancel|v.取消；作废；注销；抵消；删除; n.取消；删除
chemistry|n.化学
belong|vi.应归入；属于
bowl|n.碗；碗状物；圆形露天剧场；季后赛; n.木球；保龄球; v.投球；打保龄球
candle|n.蜡烛；烛形物; vt.对光检查
chess|n.国际象棋
below|prep.低于；在...下面; adv.在下面；向下
candy|n.糖果; v.用糖煮；使结晶为砂糖
chest|n.胸部；胸腔；箱子；金库
box|n.盒子；箱子；包厢；专席；电视机; n.一拳；巴掌；耳光; n.黄杨；黄杨木; vt.把…装箱；使局限于狭小空间；挡住; v.拳击；打耳光
belt|n.腰带；带状物；地带；皮带; vt.用皮带抽打；用带系上；用带标示; vi.疾驰；大声歌唱
chew|vt.咀嚼；嚼碎；深思; vi.咀嚼; n.咀嚼；咀嚼物
cap|n.帽子；盖子；顶；上限; vt.超过；加盖于；戴帽；覆盖；完成；设限; vi.脱帽致意
boy|n.男孩；儿子；男服务员
beside|prep.在...旁边；与...相比；和...无关
capital|n.首都；资本；大写字母；[建筑]柱顶; adj.资本的；大写的；一流的；首要的；极其严重的；涉及死亡的
chicken|n.鸡；鸡肉；胆小者; adj.懦弱的；胆小的; vi.失去勇气
brain|n.脑；智力；智者；控制中心; vt.打...的脑袋
best|adj.最好的; adv.最；最好地; n.最好的人(或物); v.优于；打败
child|n.小孩；子女；产物
captain|n.首领；队长；船长; vt.指挥；率领
brave|adj.勇敢的；英勇的; v.勇敢地面对
better|adj.更好的；较好的; adv.更好地; v.使更好；改善; n.更好者；更优者；下赌注者; 形容词good和副词well的比较级形式
china|n.中国; n.[小写]瓷器
car|n.汽车；车厢；吊舱
Brazilian|n.巴西人; adj.巴西的
between|prep.在...之间; adv.在中间
Chinese|n.中国人；汉语; adj.中国的；中国人的；汉语的
card|n.纸牌；卡片；名片；怪人；梳理机; v.把...记入卡片；梳理
bread|n.面包; vt.在...上撒面包屑
beyond|prep.超出；远于；除...之外；超出…之外; adv.在更远处；另外; n.远处；来世
chip|n.缺口；碎屑；油炸土豆条；薄片；筹码；芯片；（足球）高球；（高尔夫球）近穴球; v.形成（缺口）；切下；凿下；凑份子；打高球；近穴击球；将（土豆等）切条
care|v.关心；担忧；照顾；喜爱；介意；倾向于；愿望；在乎; n.小心；照料；忧虑；注意；护理
break|v.打碎；折断；违背；解决；中断；透露；变弱；锐减；结束; n.破裂；休息；中断；急冲；好运
bicycle|n.自行车; vi.骑自行车
chocolate|n.巧克力；巧克力糖；巧克力色; adj.巧克力的；巧克力色的
careful|adj.小心谨慎的；慎重的；精心的
breakfast|n.早餐; v.吃早餐；用早餐
big|adj.大的；重要的；有雄心的；受欢迎的; adv.宏大地；夸大地；成功地; n.杰出的组织和个人
choice|n.选择；挑选；抉择; adj.上等的；精选的
careless|adj.粗心的；疏忽的；草率的；无忧无虑的；漫不经心的
breath|n.呼吸；气息
bike|n.自行车；脚踏车；摩托车; vi.骑自行车
carrot|n.胡萝卜；好处；报酬
bridge|n.桥梁；纽带；桥牌；鼻梁；（音乐）琴马；齿桥; vt.架桥；渡过；缩短...差距
bill|n.帐单；钞票；清单；议案；海报；节目单；锚钩；鸟喙；帽舌; v.开帐单；把...列成表；用海报宣传；(鸟嘴)接触；爱抚; Bill; n.比尔(男子名)
chop|v.劈；砍；剁; n.砍；剁；排骨
carry|v.携带；运送；搬运；带有；传播；承载; n.【计】进位；运载
bright|adj.明亮的；聪明的；阳光的；生动的；有前途的; adv.一早; n.亮色
biology|n.生物学；(一个地区的全部)生物；生物群落
chopsticks|n.筷子（名词chopstick的复数形式）
case|n.例子；情况；案例；（辩论或诉讼）论据；箱; v.装箱；踩点；仔细检查
bring|vt.带来；促使；引起；劝诱; vi.产生
bird|n.鸟；禽
chore|n.讨厌的工作；琐事；家务
casually|adv.偶然地；随便地，随意地；漫不经心地；非正式地
brother|n.兄弟；教友；同胞；老兄
birth|n.分娩；出生；诞生；血统; v.分娩；产生; adj.有血亲关系的
Christmas|n.圣诞节
cat|n.猫；猫科动物；狠毒的女人；吊锚机；独桅船；九尾鞭; v.起锚；寻找性伴侣; abbr.目录（=catalog）
brown|adj.棕色的；褐色的; n.褐色；棕色; v.（使）变褐色; Brown.; n.布朗(姓氏)
birthday|n.生日
church|n.礼拜仪式；教堂；基督教徒; adj.教堂的; v.把...带到教堂接受某种宗教仪式
catch|v.赶上；抓住；捕捉；领会; n.捕捉；捕获物；陷阱
build|v.建造；开发；创建；逐渐增强; n.体格；身材
bit|n.少量；小块；片刻；马嚼子；（烟头等的）咬嘴；钻头；钥匙齿；一角二分半钱；[计]比特; v.给（马等）上嚼口；约束; 动词bite的过去式和过去分词
cigarette|n.香烟，卷烟，烟卷
cause|vt.引起；使发生; n.原因；理由；事业
building|n.建筑物
black|adj.黑的；不加牛奶的；很脏的；愤怒的；令人沮丧的；邪恶的；阴沉的；机密的；黑色幽默的; n.黑色；黑人；黑色物; v.抵制；(使)变黑
cinema|n.电影院；电影(艺术；拍摄；技术)
celebrate|v.庆祝；庆贺；颂扬
blackboard|n.黑板
bulb|n.球茎；电灯泡；球状物
circle|n.圆圈；圈子；包厢; v.划圈；包围；盘旋；环绕
cent|n.分
burn|v.燃烧；烧着；烧毁；灼伤；急于; n.烧伤；燃烧
blank|adj.空白的；茫然的; n.[C]空白；空白处
city|n.城市；都市；全体市民；特许市；特权市; City.; n.（伦敦最古老的金融商务中心）伦敦商业区
center|n.中心；集中点; v.居中；使集中; =centre
clap|v.拍手；轻拍；鼓掌；啪地关上; n.霹雳声；轻拍；拍手声
bus|n.公共汽车; n.总线；信息通路; vt.用公共汽车运输; vi.乘公共汽车
block|n.街区；木块；石块；大楼；一组；阻塞(物)；障碍(物); v.阻塞
century|n.百年；世纪; adj.百年的
class|n.等级；阶级；阶层；班级；课；[生]纲；出色的风度; v.分类
bush|n.灌木丛；矮树; v.丛生；(以灌木)标记、保护、支撑; Bush.; n.布什(姓氏)
certain|adj.确定的；肯定的；某事；某人；某种；（与人名连用；表示不认识此人）一位叫...；特定的；轻微的；微小的; pron.某些；某几个
clean|adj.干净的；纯洁的；完全的；空白的；正当的；精准的; adv.完全地; n.清洁; v.打扫；清扫；擦，刷
business|n.商业；事务；生意
blow|n.打击；殴打；吹; v.吹；风吹；擤(鼻子)；(保险丝)熔断；浪费(机会)
chair|n.椅子；(会议的)主席; vt.主持；当...的主席
clear|adj.清楚的；明确的；明白(某事)的；清晰的；清澈的；晴朗的；头脑清醒的; v.清空；清除；澄清；放晴；使明确; adv.清楚地；彻底地; n.空地
busy|adj.忙的；繁忙的；热闹的；(电话)占线的; vt.使忙于
blue|adj.蓝色的；忧郁的；沮丧的；色情的; n.蓝色
chairman|n.主席；会长；董事长; v.担任...的主席(议长)
clerk|n.职员；办事员; vi.(作为职员)工作
board|n.木板；布告板；董事会；船舷或机舱；伙食；舞台; v.登(飞机、车、船等)；接受乘客；有偿提供食宿；搭伙；用木板覆盖
but|conj.但是; prep.除...以外; adv.仅仅；只; pron.无不
clever|adj.聪明的；灵巧的
boat|n.船；船型物; v.划船；放于船上；乘船
butter|n.黄油；奶油; vt.涂黄油；奉承
challenge|n.挑战；邀请比赛；盘问；质疑; v.向...挑战；盘问；质疑
climb|v.攀登；爬；上升; n.爬；攀爬处
body|n.身体；主体；正文；主要部分；尸体；躯体；团体; v.赋…以形体
buy|vt.购买；买；获得；收买；相信; vi.买; n.购买；便宜货
champion|n.拥护者；冠军；优胜者；勇士; vt.拥护；保卫；为...而斗争
by|prep.靠近；通过；被；经由；不迟于; adv.经过；在旁边；靠近
boil|v.沸腾；煮沸；激动; n.煮沸；翻滚；疖
chance|n.可能性；机会；偶然性; v.偶然发生；碰巧；冒...(的险)
close|v.关；合拢；不开放；停业；结束；收盘；（使）缩小；牢牢握住或抓住；（使）靠拢；同意；短兵相接; adj.亲近的；近的；几乎的；闷热的；严密的；紧凑的；剪得很短的；守口如瓶的；吝啬的；势均力敌的; adv.接近；靠近；紧紧地; n.死胡同；完结；结论
cabbage|n.卷心菜；洋白菜
clothes|n.服装；衣服
change|n.变化；零钱; v.改变
bookcase|n.书架；书柜
cage|n.笼子；监狱；笼状结构; vt.关入笼中
clothing|n.(总称)衣服；覆盖物
character|n.个性；品质；字符；人物；名誉；地位; adj.[剧](角色)代表某一特性的
border|n.边界；边境；边缘; vt.与...接壤；加边于; vi.近似；毗邻
cake|n.蛋糕；块状物
charity|n.慈善；宽厚；慈善机关(团体)；仁慈
calculator|n.计算器
club|n.俱乐部；棍棒；(扑克牌中)梅花; v.用棍棒打；分担花费；凑钱；泡夜总会
chase|vt.追捕；追求；镂刻，雕刻；试图赢得; vi.奔跑；追赶; n.追捕；争取；狩猎
calendar|n.日历；历法；日程表；一览表; vt.把...列入日程表
born|adj.出生的；与生俱来的; 动词bear的过去分词.
chat|vi.闲谈；谈天; n.闲谈；聊天
borrow|v.借；借鉴；抄袭
cheap|adj.便宜的；廉价的
call|vt.呼叫；打电话；把...称为; n.打电话；访问；召唤；呼叫；把...看作; vi.呼叫；(短暂的)拜访
boss|n.老板；上司；首脑; v.管理；指挥
calm|adj.平静的；冷静的; v.(使)平静；(使)镇静; n.镇定；平静；平稳
aim|n.目标；对准；枪法; vt.瞄准；针对; vi.瞄准；旨在；致力
anyone|pron.任何人
ability|n.能力；才能
avoid|vt.避免；逃避；[律]使无效；撤销
air|n.空气；天空；空中；感觉；神态；曲调；装腔作势; v.晾干；使通风；广播
anything|pron.任何事；任何东西；重要事物; adv.在任何程度上
able|adj.能够的；有能力的；能干的
awake|adj.醒着的；警觉的; v.唤起；唤醒；醒来
airline|n.航线；航空公司
anyway|adv.不管怎样；无论如何
award|n.奖品；奖; v.授予；给予；判给
airplane|n.飞机; =aeroplane(英）.
anywhere|adv.任何地方; n.任何(一个)地方
away|adv.离开；远离；在远处；一直；朝另一个方向；消失; adj.不在的；遥远的；[棒]出局的；客场的
above|prep.超过；在...上面；高于; adj.上面的；以上的; adv.在上面；超过；更重要地；上文地; n.上面的东西
airport|n.机场；航空站
appear|vi.出现；出版；显得；好像；登场
awful|adj.糟糕的；可怕的；充满敬畏的；难受的; adv.极其
abroad|adv.到国外；广为流传; adj.在国外；海外(一般作表语)
album|n.唱片集；唱片；相册；集邮册；纪念册
apple|n.苹果；珍宝；家伙
baby|n.婴儿；宝贝儿；孩子气的人; adj.婴儿的；小型的; vt.溺爱
absent|adj.缺席的；不在的；缺乏的; vt.使缺席
alien|n.外侨；外国人；外星人; adj.外国的；陌生的；相异的
appointment|n.约会；任命；设备；职位
back|n.后面；背脊；靠背；后背；后卫; vt.支持；后退; adv.向后地; adj.向后的；后面的；偏远的；过时的；积欠的
accept|vt.接受；同意；承担(责任等); vi.接受
alive|adj.活着的；有活力的；注意到的；热闹的
April|n.四月
background|n.背景；经历；幕后；后景; vt.提供背景
all|adj.所有的；全部的; adv.完全；都；非常; pron.一切；全部; n.全部
are|v.是、在(系动词be的现在时、用于第二人称或复数)
accident|n.事故；意外；偶然；造化
allow|vt.允许；让某人得到；留出；同意（法律）; vi.(for)考虑到；允许
area|n.面积；地区，地段；区域；领域
ache|n.痛；隐痛; vi.渴望；痛
almost|adv.几乎；差不多; adj.相近的
argue|v.说服；争论；辩论
balance|n.平衡；天平；平静；结余；差额；调和；制衡; vt.权衡；使平衡；抵消；称重量; vi.均衡；建立平衡
achieve|v.完成；达到；实现
alone|adj.单独的；独自一人的；孤单的; adv.独自地；仅仅
arm|n.臂；扶手；袖子; n.武器；军种; vt.武装；装备; （复）arms:军事行动；纹章；兵役.
ball|n.球；球状物；炮弹；舞会；愉快的经历；胆量；胡说；（复）睾丸; v.使成球状；呈球状；性交
across|adv.横过；穿过；朝向特定的方向；在对面；横写地; prep.横过；穿过；在对面；在(身体某部位)上；在…各处
along|prep.沿着；顺着; adv.向前；一起
balloon|n.气球；球状物; vt.使膨胀; vi.乘气球飞行；激增；如气球般膨胀; adj.气球状的
act|n.行为；行动；法案；(戏剧、歌剧等的)一幕；假装; v.行动；举止；假装；表演；扮演；充当；有效果
aloud|adv.出声地；大声地
arrive|vi.到达；到来；成功
bamboo|n.竹；竹子
active|adj.活跃的；积极的；起作用的；灵活的
already|adv.已经
art|n.艺术；美术；技巧；艺术品；人文学科；阴谋; adj.艺术(品)的；美术(品)的
banana|n.香蕉
activity|n.活动；活跃; vt.表演; adj.厉害
alright|adj.很好的；没问题的；满意的; adv.很好；没问题地；令人满意; =allright
article|n.文章；物品；条款；[语]冠词; vt.订契约
add|v.加；增加；补充
artist|n.艺术家；美术家；艺人
also|adv.也；而且；同样地
bank|n.银行；岸；筹码；库；田埂；堤；积云；一系列；一组；一排；一团；用于循环再利用的废旧物品回收站; v.把钱存入银行；开户；筑堤防护；堆积
address|n.住址；网址；电子邮箱地址；称呼；致词；讲话；演讲；谈吐; v.称呼；发表演说；提出；写地址；处理
although|conj.虽然；尽管；然而；可是
as|adv.同样地；例如；被认为; prep.作为；如同; conj.因为；像；当...之时；像...一样；结果；尽管; n.阿斯（古罗马重量单位，约373克；古罗马铜币名）
barbecue|n.烤肉；烧烤；烤架; v.烤炙
adult|n.成年人；成年动物; adj.成年的；理智的；适合成年人的；成熟的
ASIA|n.亚洲；亚细亚
baseball|n.棒球
advantage|n.优势；有利条件; vt.有利于
am|v.是（动词be的第一人称形式）
ask|v.询问；请求；邀请；要求；开价；期待
adverb|n.副词; adj.副词的
amazing|adj.令人惊异的; 动词amaze的现在分词.
basketball|n.篮球
asleep|adj.睡着的；已死的；不活跃的；麻木的; adv.睡着；进入静止状态
advertisement|n.广告
America|n.美国；美洲
bathroom|n.浴室；洗手间
assistant|n.助手，助理，助教；【化】（用于染色的）助剂; adj.副的；辅助的
among|prep.在...之中；...之一
association|n.协会；社团；交往；联想；联合；结合
advice|n.劝告；忠告；建议
afford|v.花费得起；能够做；承担得起(后果)；提供；给予
Atlantic|adj.大西洋的; n.大西洋
be|v.有；在；是；到达；拜访
amount|n.数量；总额; vi.总计；等于
beach|n.海滩；海滨；沙滩; vt.拖(船)上岸
afraid|adj.抱歉的；担心的；害怕的
ancient|adj.古老的；古代的; n.古人
attempt|v.企图；尝试; n.企图；试图
bear|n.熊; v.忍受；负荷；结果；证实；生子女
and|conj.和；加；接着；那么
attendant|adj.伴随的; n.服务员；出席者；伴随物；侍从
Africa|n.非洲
beard|n.胡须; vt.公开反对；抓住胡须
angry|adj.生气的；愤怒的；（伤口等）肿痛的，发炎的；（天空或海洋）天昏地暗的，狂风暴雨的
attention|n.注意；注意力；照料；留心；关怀；(口令)立正
after|adv.以后；后来; conj.在...以后; prep.在...之后；在后面；关于；追赶；依照; adj.以后的
attitude|n.态度；看法；姿势
animal|n.动物；牲畜; adj.动物的；野兽的
afternoon|n.下午
beautiful|adj.美丽的；好的；出色的
august|adj.（a~）威严的；尊贵的; n.八月
announce|vt.宣布；宣告；预示；播报; vi.作播音员；宣布竞选
again|adv.再；又
beauty|n.美人；美丽；美的东西
aunt|n.伯母；姑；婶；姨
another|adj.另一的；再一个的; pron.另一个；类似的一个；别的
against|prep.反对；逆；违背；倚靠；映衬；防御；相比；相对
because|conj.因为；由于
Australia|n.澳大利亚
answer|v.回答；答复；接电话; n.答案；回答；答复
age|n.年龄；时代；时期；长时间; v.（使）变老；（使）陈化
become|v.变成；成为；变得；适合（某人）；使（人）显得漂亮
author|n.作家；作者; vt.编写；创作; Author.; n.上帝
ant|n.蚂蚁
agent|n.代理人；代理商；药剂；特工人员
bed|n.床；基座；底层；河床；花坛；苗圃；地层; v.安置；发生性关系
authority|n.权力；官方；当局；职权；权威
anxious|adj.渴望的；忧虑的
aggressive|adj.侵略的；进攻性的；好斗的；有进取心的
bee|n.蜜蜂; n.集会
autograph|n.亲笔签名；手稿，原稿，手迹，真迹; v.亲笔签名于；亲笔书写
any|adj.任何的; adv.稍微；丝毫; pron.任何
ago|adv.以前
before|conj.在...以前; pref.在...以前；在..前面; adv.以前；以往；之前
autumn|n.秋季；秋天
anybody|pron.任何人
agree|v.同意；赞成；承认；符合；一致
begin|v.开始；着手
avenue|n.林荫道；大街；途径手段
anymore|adv.(通常用于疑问句或否定句中，与not连用)再，也，还
aid|n.援助；帮助；救援；助手；辅助物; v.辅助；援助；接济
annual|adj.每年的；年度的；一年生的; n.年刊；一年生植物
america|n.美国；美洲
communication|n.交流；通讯；传达；通信；沟通
dumpling|n.饺子；汤团，软绵绵象团子的东西
disable|v.使...失去能力
fit|adj.适宜的；合适的；健康的; v.适合；安装; n.发作；适宜
